GPSX,GPSY,geometry
121.504204,31.232218,POINT (121.504204 31.232218)
121.495457,31.261508000000006,POINT (121.495457 31.26150800000001)
121.486214,31.246454,POINT (121.486214 31.246454)
121.451961,31.221615000000003,POINT (121.451961 31.221615)
121.373643,31.110046,POINT (121.373643 31.110046)
121.47003,31.216821000000003,POINT (121.47003 31.216821)
121.487283,31.247887,POINT (121.487283 31.247887)
121.488539,31.233635,POINT (121.488539 31.233635)
121.493787,31.238517,POINT (121.493787 31.238517)
121.378681,31.19601,POINT (121.378681 31.19601)
121.435818,31.260095,POINT (121.435818 31.260095)
121.440141,31.232383,POINT (121.440141 31.232383)
121.390531,31.225054,POINT (121.390531 31.225054)
121.46263799999998,31.274798,POINT (121.462638 31.274798)
121.511593,31.231831,POINT (121.511593 31.231831)
121.486234,31.236434000000006,POINT (121.486234 31.23643400000001)
121.469924,31.217045,POINT (121.469924 31.217045)
121.493958,31.238166,POINT (121.493958 31.238166)
121.40272,31.207536,POINT (121.40272 31.207536)
121.49288500000002,31.242878,POINT (121.492885 31.242878)
121.464492,31.233325,POINT (121.464492 31.233325)
121.468447,31.194071,POINT (121.468447 31.194071)
121.339418,31.080357,POINT (121.339418 31.080357)
121.486466,31.235776,POINT (121.486466 31.235776)
121.449054,31.229606,POINT (121.449054 31.229606)
121.537131,31.217908,POINT (121.537131 31.217908)
121.557485,31.212045,POINT (121.557485 31.212045)
121.212212,31.289261,POINT (121.212212 31.289261)
121.484757,31.251014,POINT (121.484757 31.251014)
121.490416,31.404229,POINT (121.490416 31.404229)
121.447393,31.210268,POINT (121.447393 31.210268)
121.390265,31.190168,POINT (121.390265 31.190168)
121.464483,31.233313,POINT (121.464483 31.233313)
121.476112,31.225690000000004,POINT (121.476112 31.22569)
121.398187,31.199723,POINT (121.398187 31.199723)
121.461951,31.246445,POINT (121.461951 31.246445)
121.424996,31.229721,POINT (121.424996 31.229721)
121.278109,31.209976,POINT (121.278109 31.209976)
121.49601,31.236063,POINT (121.49601 31.236063)
121.398476,31.199738,POINT (121.398476 31.199738)
121.490289,31.247609000000004,POINT (121.490289 31.247609)
121.157981,31.291703,POINT (121.157981 31.291703)
121.469694,31.224646000000003,POINT (121.469694 31.224646)
121.382745,31.189417,POINT (121.382745 31.189417)
121.453983,31.212844,POINT (121.453983 31.212844)
121.526928,31.219534000000003,POINT (121.526928 31.219534)
121.477167,31.233809,POINT (121.477167 31.233809)
121.495606,31.228275,POINT (121.495606 31.228275)
121.437806,31.193952000000003,POINT (121.437806 31.193952)
121.512611,31.211647,POINT (121.512611 31.211647)
121.454091,30.906559,POINT (121.454091 30.906559)
121.452092,31.247056,POINT (121.452092 31.247056)
121.581581,31.202411,POINT (121.581581 31.202411)
121.595817,31.254708,POINT (121.595817 31.254708)
121.347235,30.731594,POINT (121.347235 30.731594)
121.428516,31.239040000000006,POINT (121.428516 31.23904000000001)
121.335123,31.089206,POINT (121.335123 31.089206)
121.502141,31.251828000000003,POINT (121.502141 31.251828)
121.441867,31.206808,POINT (121.441867 31.206808)
121.490932,31.175434000000006,POINT (121.490932 31.17543400000001)
121.570992,31.2337,POINT (121.570992 31.2337)
121.478004,31.228209000000003,POINT (121.478004 31.228209)
121.468246,31.233117,POINT (121.468246 31.233117)
121.502776,31.174153000000004,POINT (121.502776 31.174153)
121.441583,31.223475,POINT (121.441583 31.223475)
121.483728,31.241373,POINT (121.483728 31.241373)
121.48871,31.247377,POINT (121.48871 31.247377)
121.524055,31.22601,POINT (121.524055 31.22601)
121.450222,31.218317,POINT (121.450222 31.218317)
121.498909,31.240509000000007,POINT (121.498909 31.24050900000001)
121.480202,31.234229,POINT (121.480202 31.234229)
121.471641,31.236367,POINT (121.471641 31.236367)
121.466392,31.233026,POINT (121.466392 31.233026)
121.48871,31.247377,POINT (121.48871 31.247377)
121.457257,31.220683,POINT (121.457257 31.220683)
121.519252,31.229829,POINT (121.519252 31.229829)
121.559714,31.21442,POINT (121.559714 31.21442)
121.43399,31.197045000000006,POINT (121.43399 31.19704500000001)
121.42878,31.239833,POINT (121.42878 31.239833)
121.376306,31.245857,POINT (121.376306 31.245857)
121.580875,31.202706,POINT (121.580875 31.202706)
121.216565,31.039401,POINT (121.216565 31.039401)
121.502983,31.242222,POINT (121.502983 31.242222)
121.486442,31.264518,POINT (121.486442 31.264518)
121.44917,31.212399,POINT (121.44917 31.212399)
121.570622,31.237838,POINT (121.570622 31.237838)
121.463343,31.210319,POINT (121.463343 31.210319)
121.432712,31.207012,POINT (121.432712 31.207012)
121.484596,31.2435,POINT (121.484596 31.2435)
121.468368,31.193799,POINT (121.468368 31.193799)
121.578911,31.244388,POINT (121.578911 31.244388)
121.448566,31.237238,POINT (121.448566 31.237238)
121.557877,31.210728000000003,POINT (121.557877 31.210728)
121.464025,31.2096,POINT (121.464025 31.2096)
121.440278,31.328379,POINT (121.440278 31.328379)
121.444033,31.234239,POINT (121.444033 31.234239)
121.475898,31.226196,POINT (121.475898 31.226196)
121.520376,31.241518,POINT (121.520376 31.241518)
121.533509,31.285666,POINT (121.533509 31.285666)
121.458699,31.256452000000003,POINT (121.458699 31.256452)
121.400382,31.207181,POINT (121.400382 31.207181)
121.46871000000002,31.223991,POINT (121.46871 31.223991)
121.495455,31.282791,POINT (121.495455 31.282791)
121.200982,31.097306,POINT (121.200982 31.097306)
121.451153,31.217855,POINT (121.451153 31.217855)
121.438536,31.230081,POINT (121.438536 31.230081)
121.498314,31.24032,POINT (121.498314 31.24032)
121.52413,31.218654,POINT (121.52413 31.218654)
121.450859,31.229717,POINT (121.450859 31.229717)
121.460085,31.227424,POINT (121.460085 31.227424)
121.216634,31.039379,POINT (121.216634 31.039379)
121.487307,31.190135,POINT (121.487307 31.190135)
121.484603,31.238615000000006,POINT (121.484603 31.23861500000001)
121.44618,31.216462,POINT (121.44618 31.216462)
121.555894,31.229641,POINT (121.555894 31.229641)
121.46643,31.203555,POINT (121.46643 31.203555)
121.446579,31.221236,POINT (121.446579 31.221236)
121.446882,31.195714,POINT (121.446882 31.195714)
121.442458,31.30993,POINT (121.442458 31.30993)
121.484986,31.240999,POINT (121.484986 31.240999)
121.485832,31.257838,POINT (121.485832 31.257838)
121.487538,31.256488,POINT (121.487538 31.256488)
121.43148,31.323652000000006,POINT (121.43148 31.32365200000001)
121.458331,31.224996,POINT (121.458331 31.224996)
121.382257,31.108887,POINT (121.382257 31.108887)
121.587065,31.245246,POINT (121.587065 31.245246)
121.484489,31.263716,POINT (121.484489 31.263716)
121.448276,31.219519,POINT (121.448276 31.219519)
121.452698,31.214027,POINT (121.452698 31.214027)
121.512534,31.230371,POINT (121.512534 31.230371)
121.588185,31.24453,POINT (121.588185 31.24453)
121.501079,31.22219,POINT (121.501079 31.22219)
121.476719,31.267476,POINT (121.476719 31.267476)
121.48715,31.188842,POINT (121.48715 31.188842)
121.465607,31.219659000000004,POINT (121.465607 31.219659)
121.486234,31.236434000000006,POINT (121.486234 31.23643400000001)
121.55755,31.212214000000003,POINT (121.55755 31.212214)
121.426576,31.219948,POINT (121.426576 31.219948)
121.510474,31.229008,POINT (121.510474 31.229008)
121.592727,31.249462,POINT (121.592727 31.249462)
121.230536,31.007664,POINT (121.230536 31.007664)
121.421436,31.18399,POINT (121.421436 31.18399)
121.445717,31.221634,POINT (121.445717 31.221634)
121.451457,31.216466,POINT (121.451457 31.216466)
121.446618,31.235876,POINT (121.446618 31.235876)
121.24076,31.386603000000004,POINT (121.24076 31.386603)
121.447808,31.228679,POINT (121.447808 31.228679)
121.442527,31.22666,POINT (121.442527 31.22666)
121.468451,31.204126,POINT (121.468451 31.204126)
121.79486,31.16281,POINT (121.79486 31.16281)
121.47008999999998,31.21972,POINT (121.47009 31.21972)
121.578661,31.242227000000003,POINT (121.578661 31.242227)
121.475012,31.230876,POINT (121.475012 31.230876)
121.484596,31.2435,POINT (121.484596 31.2435)
121.387089,31.182811,POINT (121.387089 31.182811)
121.426532,31.186378,POINT (121.426532 31.186378)
121.425699,31.270805,POINT (121.425699 31.270805)
121.474031,31.232163,POINT (121.474031 31.232163)
121.501102,31.304017,POINT (121.501102 31.304017)
121.40071100000002,31.206753000000006,POINT (121.400711 31.20675300000001)
121.338555,30.966175,POINT (121.338555 30.966175)
121.531172,31.230457,POINT (121.531172 31.230457)
121.47021399999998,31.225663,POINT (121.470214 31.225663)
121.112658,31.151189,POINT (121.112658 31.151189)
121.46342,31.232724,POINT (121.46342 31.232724)
121.38416200000002,31.193413,POINT (121.384162 31.193413)
121.401545,31.206740000000003,POINT (121.401545 31.20674)
121.504631,31.29912,POINT (121.504631 31.29912)
121.433783,31.2007,POINT (121.433783 31.2007)
121.442403,31.216556,POINT (121.442403 31.216556)
121.58392,31.340791,POINT (121.58392 31.340791)
121.484157,31.215343,POINT (121.484157 31.215343)
121.417663,31.286129,POINT (121.417663 31.286129)
121.485339,31.235549,POINT (121.485339 31.235549)
121.447778,31.275786,POINT (121.447778 31.275786)
121.42473400000002,31.20658,POINT (121.424734 31.20658)
121.391892,31.208242,POINT (121.391892 31.208242)
121.516855,30.816958000000003,POINT (121.516855 30.816958)
121.453861,31.218093,POINT (121.453861 31.218093)
121.443418,31.225078000000003,POINT (121.443418 31.225078)
121.503017,31.268355,POINT (121.503017 31.268355)
121.461541,31.220651,POINT (121.461541 31.220651)
121.381711,31.188064,POINT (121.381711 31.188064)
121.43769,31.190549,POINT (121.43769 31.190549)
121.439285,31.22863,POINT (121.439285 31.22863)
121.430028,31.205667,POINT (121.430028 31.205667)
121.450694,31.219828000000003,POINT (121.450694 31.219828)
121.445041,31.2103,POINT (121.445041 31.2103)
121.213259,31.266647,POINT (121.213259 31.266647)
121.48976,31.303253,POINT (121.48976 31.303253)
121.438203,31.225239,POINT (121.438203 31.225239)
121.380526,31.346644,POINT (121.380526 31.346644)
121.473547,31.207708,POINT (121.473547 31.207708)
121.286815,31.170977,POINT (121.286815 31.170977)
121.512702,31.300603,POINT (121.512702 31.300603)
121.493904,31.243467,POINT (121.493904 31.243467)
121.484947,31.235029,POINT (121.484947 31.235029)
121.507537,31.263306,POINT (121.507537 31.263306)
121.47248700000002,31.236503000000006,POINT (121.472487 31.23650300000001)
121.459685,31.214767,POINT (121.459685 31.214767)
121.477804,31.242402,POINT (121.477804 31.242402)
121.35652,31.141711,POINT (121.35652 31.141711)
121.452797,31.187758,POINT (121.452797 31.187758)
121.539425,31.220433,POINT (121.539425 31.220433)
121.388977,31.198073,POINT (121.388977 31.198073)
121.372696,31.194392,POINT (121.372696 31.194392)
121.514103,31.227524,POINT (121.514103 31.227524)
121.44308,31.226531,POINT (121.44308 31.226531)
121.499733,31.244505,POINT (121.499733 31.244505)
121.469283,31.225297,POINT (121.469283 31.225297)
121.557682,31.192367,POINT (121.557682 31.192367)
121.391317,31.223263,POINT (121.391317 31.223263)
121.38416,31.193097,POINT (121.38416 31.193097)
121.250708,31.383983,POINT (121.250708 31.383983)
121.44231299999998,31.22265,POINT (121.442313 31.22265)
121.507049,31.263774,POINT (121.507049 31.263774)
121.445142,31.225134000000004,POINT (121.445142 31.225134)
121.435806,31.247633,POINT (121.435806 31.247633)
121.461416,31.227631,POINT (121.461416 31.227631)
121.46863,31.218870000000006,POINT (121.46863 31.21887000000001)
121.435914,31.21841,POINT (121.435914 31.21841)
121.439061,31.203598,POINT (121.439061 31.203598)
121.497057,31.233679,POINT (121.497057 31.233679)
121.43323999999998,31.213189,POINT (121.43324 31.213189)
121.463697,31.21015,POINT (121.463697 31.21015)
121.415859,31.178073,POINT (121.415859 31.178073)
121.486351,31.236099,POINT (121.486351 31.236099)
121.81538799999998,30.874137,POINT (121.815388 30.874137)
121.452557,31.224631,POINT (121.452557 31.224631)
121.473991,31.271455,POINT (121.473991 31.271455)
121.464152,31.208382,POINT (121.464152 31.208382)
121.464033,31.210364,POINT (121.464033 31.210364)
121.558318,31.21495,POINT (121.558318 31.21495)
121.461537,31.220747,POINT (121.461537 31.220747)
121.476532,31.411547,POINT (121.476532 31.411547)
121.469943,31.222938,POINT (121.469943 31.222938)
121.494679,31.238764,POINT (121.494679 31.238764)
121.527909,31.262902,POINT (121.527909 31.262902)
121.517677,31.279757,POINT (121.517677 31.279757)
121.520515,31.229368,POINT (121.520515 31.229368)
121.113017,31.154613,POINT (121.113017 31.154613)
121.449456,31.218106,POINT (121.449456 31.218106)
121.486234,31.236434000000006,POINT (121.486234 31.23643400000001)
121.45202,31.248441,POINT (121.45202 31.248441)
121.402652,31.20426,POINT (121.402652 31.20426)
121.506041,31.306865,POINT (121.506041 31.306865)
121.493119,31.283686,POINT (121.493119 31.283686)
121.473547,31.207486,POINT (121.473547 31.207486)
121.40828,31.198154,POINT (121.40828 31.198154)
121.36967,31.180702,POINT (121.36967 31.180702)
121.475554,31.288158000000006,POINT (121.475554 31.28815800000001)
121.741209,31.048407,POINT (121.741209 31.048407)
121.467533,31.244589,POINT (121.467533 31.244589)
121.42394,31.231252,POINT (121.42394 31.231252)
121.465941,31.231163,POINT (121.465941 31.231163)
121.391955,31.625731,POINT (121.391955 31.625731)
121.487458,31.306472,POINT (121.487458 31.306472)
121.780183,31.048654,POINT (121.780183 31.048654)
121.4574,31.21716,POINT (121.4574 31.21716)
121.483543,31.24381,POINT (121.483543 31.24381)
121.241361,31.386543,POINT (121.241361 31.386543)
121.320434,31.241411,POINT (121.320434 31.241411)
121.432572,31.197266,POINT (121.432572 31.197266)
121.897661,30.883165,POINT (121.897661 30.883165)
121.594733,31.194857,POINT (121.594733 31.194857)
121.419237,31.211315000000006,POINT (121.419237 31.21131500000001)
121.495891,31.235064,POINT (121.495891 31.235064)
121.406471,31.233311,POINT (121.406471 31.233311)
121.445314,31.223115000000004,POINT (121.445314 31.223115)
121.446353,31.204733,POINT (121.446353 31.204733)
121.43799,31.224681,POINT (121.43799 31.224681)
121.25109,31.384733,POINT (121.25109 31.384733)
121.384321,31.105877000000003,POINT (121.384321 31.105877)
121.438645,31.224523,POINT (121.438645 31.224523)
121.416361,31.220367,POINT (121.416361 31.220367)
121.282621,31.333547,POINT (121.282621 31.333547)
121.472496,31.223931,POINT (121.472496 31.223931)
121.445236,31.225161,POINT (121.445236 31.225161)
121.450192,31.221912,POINT (121.450192 31.221912)
121.44993999999998,31.141698,POINT (121.44994 31.141698)
121.290688,31.166355,POINT (121.290688 31.166355)
121.46319,31.208008000000003,POINT (121.46319 31.208008)
121.451079,31.22352,POINT (121.451079 31.22352)
121.582705,31.213036,POINT (121.582705 31.213036)
121.041198,31.10778,POINT (121.041198 31.10778)
121.390987,31.226875,POINT (121.390987 31.226875)
121.420931,31.142945,POINT (121.420931 31.142945)
121.483475,31.243569,POINT (121.483475 31.243569)
121.43511,31.195244,POINT (121.43511 31.195244)
121.274459,31.15897,POINT (121.274459 31.15897)
121.505943,31.236333,POINT (121.505943 31.236333)
121.399909,31.244006,POINT (121.399909 31.244006)
121.441771,31.22691,POINT (121.441771 31.22691)
121.5042,31.202329,POINT (121.5042 31.202329)
121.473261,31.227367,POINT (121.473261 31.227367)
121.503355,31.236851,POINT (121.503355 31.236851)
121.361757,31.183003000000006,POINT (121.361757 31.18300300000001)
121.443183,31.219042,POINT (121.443183 31.219042)
121.431758,31.253853000000003,POINT (121.431758 31.253853)
121.412454,31.221502,POINT (121.412454 31.221502)
121.495378,31.235787,POINT (121.495378 31.235787)
121.4371,31.299059000000003,POINT (121.4371 31.299059)
121.49384,31.238305,POINT (121.49384 31.238305)
121.342962,30.734661,POINT (121.342962 30.734661)
121.426627,31.200818,POINT (121.426627 31.200818)
121.438936,31.224238,POINT (121.438936 31.224238)
121.214855,31.051613,POINT (121.214855 31.051613)
121.479096,30.927172,POINT (121.479096 30.927172)
121.389315,31.314566,POINT (121.389315 31.314566)
121.440828,31.221171,POINT (121.440828 31.221171)
121.459989,30.816207,POINT (121.459989 30.816207)
121.503355,31.236851,POINT (121.503355 31.236851)
121.481837,31.250666,POINT (121.481837 31.250666)
121.19956299999998,31.051805,POINT (121.199563 31.051805)
121.510796,31.267865000000004,POINT (121.510796 31.267865)
121.47142,31.235656,POINT (121.47142 31.235656)
121.493269,31.237952000000003,POINT (121.493269 31.237952)
121.448306,31.219564,POINT (121.448306 31.219564)
121.224674,31.153783,POINT (121.224674 31.153783)
121.164742,31.297675,POINT (121.164742 31.297675)
