id,Movie,Phase,Chronological_order,Release_date,Release_order,Takes_place,Runtime_min,Cumulative_runtime
0,Iron Man,1,03,02/05/2008,1,2010,126,126
1,The Incredible Hulk,1,06,13/06/2008,2,Pre-Avengers,112,238
2,Iron Man 2,1,04,07/05/2010,3,2011,125,363
3,Thor,1,05,06/05/2011,4,2011,114,477
4,Captain America: The First Avenger,1,01,22/07/2011,5,During WWII,124,601
5,The Avengers,1,07,04/05/2012,6,2012,143,744
6,Iron Man 3,2,08,03/05/2013,7,6 months after The Avengers,131,875
7,Thor: The Dark World,2,09,08/11/2013,8,2013,112,987
8,Captain America: The Winter Soldier,2,10,04/04/2014,9,2014,136,1123
9,Guardians of the Galaxy,2,11,01/08/2014,10,2014,122,1245
10,Avengers: Age of Ultron,2,12,01/05/2015,11,2015,141,1386
11,Ant-Man,2,13,17/07/2015,12,2015,117,1503
12,Captain America: Civil War,3,14,06/05/2016,13,2016,147,1650
13,Doctor Strange,3,18,04/11/2016,14,2016-2017,115,1765
14,Guardians of the Galaxy Vol. 2,3,17,05/05/2017,15,2014,137,1902
15,Spider-Man: Homecoming,3,16,07/07/2017,16,Pre-Infinity War,133,2035
16,Thor: Ragnarok,3,19,03/11/2017,17,Pre-Infinity War,130,2165
17,Black Panther,3,15,16/02/2018,18,2017,134,2299
18,Avengers: Infinity War,3,20,27/04/2018,19,2017,149,2448
19,Ant-Man and the Wasp,3,21,06/07/2018,20,Time unspecified,118,2566
20,Captain Marvel,3,2,08/03/2019,21,1995,124,2690
21,Avengers: Endgame,3,22,26/04/2019,22,2017-2022,181,2871
22,Spider-Man: Far From Home,3,23,02/07/2019,23,Post-Endgame,129,3000
,,,,,,,
